id;isbn;title;year
B-001;978-966-01-0001-1;Тигролови;1946
B-002;978-966-01-0002-2;Мина Мазайло;1929
B-003;978-966-01-0003-3;Тіні забутих предків;1911
B-004;978-966-01-0004-4;Кайдашева сім'я;1879                            
B-005;978-966-01-0005-5;Місто;1928
B-006;978-966-01-0006-6;Мойсей;1905                                     
B-007;978-966-01-0007-7;Маруся Чурай;1979
B-008;978-966-01-0008-8;Кобзар;1840
B-009;978-966-01-0009-9;Інститутка;1862                                
B-010;978-966-01-0010-0;Захар Беркут;1883
B-011;978-966-01-0011-1;Камінний хрест
B-012;978-966-01-0012-2;Intermezzo;1908;зайвий параметр
B-013;;Книга без ISBN;2000
